,customer,inactive_days,number_of_orders,total_payment,cluster_r,cluster_f,cluster_m,rfm_segment,segment_index
0,C1,62,3,137.16,3,3,1,331,C
1,C10,694,1,114.77000000000001,1,1,1,111,D
2,C100,692,1,653.39,1,1,2,112,D
3,C1000,574,1,65.46,1,1,1,111,D
4,C10000,462,1,142.10000000000002,1,1,1,111,D
5,C10001,462,1,59.0,1,1,1,111,D
6,C10002,462,1,40.089999999999996,1,1,1,111,D
7,C10003,462,1,67.67999999999999,1,1,1,111,D
8,C10004,462,1,57.0,1,1,1,111,D
9,C10005,462,1,252.07,1,1,1,111,D
10,C10006,462,1,144.47,1,1,1,111,D
11,C10007,462,1,56.42,1,1,1,111,D
12,C10008,462,1,158.46,1,1,1,111,D
13,C10009,462,1,188.41,1,1,1,111,D
14,C1001,574,1,38.42,1,1,1,111,D
15,C10010,462,1,33.84,1,1,1,111,D
16,C10011,462,1,27.68,1,1,1,111,D
17,C10012,462,1,360.09,1,1,2,112,D
18,C10013,462,1,55.0,1,1,1,111,D
19,C10014,462,1,70.12,1,1,1,111,D
20,C10015,462,1,61.58,1,1,1,111,D
21,C10016,462,1,218.66,1,1,1,111,D
22,C10017,462,2,123.01999999999998,1,2,1,121,D
23,C10018,462,1,287.76,1,1,1,111,D
24,C10019,462,1,62.68,1,1,1,111,D
25,C1002,574,1,64.42,1,1,1,111,D
26,C10020,462,1,116.94,1,1,1,111,D
27,C10021,405,2,194.09,1,2,1,121,D
28,C10022,462,1,102.03,1,1,1,111,D
29,C10023,462,1,182.76,1,1,1,111,D
30,C10024,462,2,233.20000000000002,1,2,1,121,D
31,C10025,462,1,120.38999999999999,1,1,1,111,D
32,C10026,462,1,81.72,1,1,1,111,D
33,C10027,462,1,60.09,1,1,1,111,D
34,C10028,462,1,186.6,1,1,1,111,D
35,C10029,391,3,159.57,1,3,1,131,D
36,C1003,574,1,140.51,1,1,1,111,D
37,C10030,462,1,239.39,1,1,1,111,D
38,C10031,462,1,62.68,1,1,1,111,D
39,C10032,462,1,63.37,1,1,1,111,D
40,C10033,462,1,258.86,1,1,1,111,D
41,C10034,462,1,314.84,1,1,2,112,D
42,C10035,462,1,233.83,1,1,1,111,D
43,C10036,462,1,152.38,1,1,1,111,D
44,C10037,462,1,686.02,1,1,2,112,D
45,C10038,462,1,40.78,1,1,1,111,D
46,C10039,462,1,178.56,1,1,1,111,D
47,C1004,574,1,185.88,1,1,1,111,D
48,C10040,364,2,425.54,1,2,2,122,D
49,C10041,462,1,44.089999999999996,1,1,1,111,D
50,C10042,462,1,175.26,1,1,1,111,D
51,C10043,462,1,242.24,1,1,1,111,D
52,C10044,462,1,345.07,1,1,2,112,D
53,C10045,461,1,86.61000000000001,1,1,1,111,D
54,C10046,461,2,175.28,1,2,1,121,D
55,C10047,461,1,256.43,1,1,1,111,D
56,C10048,461,1,307.10999999999996,1,1,2,112,D
57,C10049,461,2,54.2,1,2,1,121,D
58,C1005,574,1,40.72,1,1,1,111,D
59,C10050,461,1,65.06,1,1,1,111,D
60,C10051,461,1,113.62,1,1,1,111,D
61,C10052,461,1,140.56,1,1,1,111,D
62,C10053,275,2,330.14,2,2,2,222,B
63,C10054,461,1,116.94,1,1,1,111,D
64,C10055,461,1,126.43,1,1,1,111,D
65,C10056,461,1,63.17999999999999,1,1,1,111,D
66,C10057,461,1,33.37,1,1,1,111,D
67,C10058,461,1,772.51,1,1,2,112,D
68,C10059,461,1,120.87,1,1,1,111,D
69,C1006,574,1,255.25,1,1,1,111,D
70,C10060,461,1,142.97,1,1,1,111,D
71,C10061,461,1,86.02,1,1,1,111,D
72,C10062,461,3,336.86,1,3,2,132,D
73,C10063,461,1,154.07,1,1,1,111,D
74,C10064,232,2,103.1,2,2,1,221,D
75,C10065,461,1,148.79,1,1,1,111,D
76,C10066,298,2,118.09,2,2,1,221,D
77,C10067,461,1,57.239999999999995,1,1,1,111,D
78,C10068,461,1,6726.66,1,1,3,113,D
79,C10069,461,1,75.78999999999999,1,1,1,111,D
80,C1007,574,1,1101.83,1,1,3,113,D
81,C10070,461,1,25.09,1,1,1,111,D
82,C10071,461,1,102.03,1,1,1,111,D
83,C10072,461,1,32.62,1,1,1,111,D
84,C10073,461,1,105.28,1,1,1,111,D
85,C10074,461,1,507.17,1,1,2,112,D
86,C10075,461,1,161.65,1,1,1,111,D
87,C10076,461,1,34.129999999999995,1,1,1,111,D
88,C10077,461,1,269.15,1,1,1,111,D
89,C10078,461,1,80.0,1,1,1,111,D
90,C10079,461,1,68.89,1,1,1,111,D
91,C1008,574,1,177.54000000000002,1,1,1,111,D
92,C10080,461,1,296.12,1,1,1,111,D
93,C10081,461,1,164.17000000000002,1,1,1,111,D
94,C10082,461,1,137.7,1,1,1,111,D
95,C10083,327,4,451.83,2,3,2,232,B
96,C10084,461,1,379.2,1,1,2,112,D
97,C10085,461,1,134.2,1,1,1,111,D
98,C10086,461,1,60.01,1,1,1,111,D
99,C10087,461,1,258.41,1,1,1,111,D
100,C10088,461,1,32.089999999999996,1,1,1,111,D
101,C10089,461,1,26.6,1,1,1,111,D
102,C1009,573,1,18.22,1,1,1,111,D
103,C10090,461,1,257.79,1,1,1,111,D
104,C10091,461,1,102.26,1,1,1,111,D
105,C10092,461,1,191.88,1,1,1,111,D
106,C10093,461,1,145.56,1,1,1,111,D
107,C10094,461,1,107.81,1,1,1,111,D
108,C10095,461,1,52.589999999999996,1,1,1,111,D
109,C10096,461,1,215.38,1,1,1,111,D
110,C10097,461,1,70.03999999999999,1,1,1,111,D
111,C10098,461,2,125.14,1,2,1,121,D
112,C10099,461,1,324.88,1,1,2,112,D
113,C101,692,1,594.46,1,1,2,112,D
114,C1010,573,1,226.88,1,1,1,111,D
115,C10100,461,1,46.44,1,1,1,111,D
116,C10101,461,1,85.15,1,1,1,111,D
117,C10102,461,1,30.09,1,1,1,111,D
118,C10103,461,1,101.12,1,1,1,111,D
119,C10104,461,1,156.09,1,1,1,111,D
120,C10105,461,1,26.77,1,1,1,111,D
121,C10106,461,1,429.27,1,1,2,112,D
122,C10107,461,1,148.15,1,1,1,111,D
123,C10108,461,2,346.74,1,2,2,122,D
124,C10109,461,1,32.47,1,1,1,111,D
125,C1011,573,1,41.64,1,1,1,111,D
126,C10110,316,2,79.09,2,2,1,221,D
127,C10111,461,1,27.77,1,1,1,111,D
128,C10112,461,1,129.01,1,1,1,111,D
129,C10113,461,1,51.0,1,1,1,111,D
130,C10114,461,1,286.34000000000003,1,1,1,111,D
131,C10115,461,1,70.03,1,1,1,111,D
132,C10116,180,3,366.99,2,3,2,232,B
133,C10117,461,1,126.11000000000001,1,1,1,111,D
134,C10118,446,2,99.56,1,2,1,121,D
135,C10119,461,1,87.8,1,1,1,111,D
136,C1012,573,1,221.84,1,1,1,111,D
137,C10120,461,1,726.8900000000001,1,1,2,112,D
138,C10121,461,1,87.64,1,1,1,111,D
139,C10122,461,1,125.52,1,1,1,111,D
140,C10123,461,1,81.89,1,1,1,111,D
141,C10124,461,1,34.089999999999996,1,1,1,111,D
142,C10125,461,1,650.63,1,1,2,112,D
143,C10126,461,1,62.01,1,1,1,111,D
144,C10127,461,1,426.09,1,1,2,112,D
145,C10128,461,1,298.32,1,1,1,111,D
146,C10129,461,1,123.99000000000001,1,1,1,111,D
147,C1013,573,1,61.459999999999994,1,1,1,111,D
148,C10130,461,1,42.78,1,1,1,111,D
149,C10131,461,1,71.82,1,1,1,111,D
150,C10132,461,1,208.64000000000001,1,1,1,111,D
151,C10133,461,1,94.21000000000001,1,1,1,111,D
152,C10134,461,1,48.01,1,1,1,111,D
153,C10135,461,1,637.49,1,1,2,112,D
154,C10136,461,1,66.6,1,1,1,111,D
155,C10137,461,1,116.44999999999999,1,1,1,111,D
156,C10138,461,1,98.11000000000001,1,1,1,111,D
157,C10139,461,1,72.39,1,1,1,111,D
158,C1014,573,1,185.61,1,1,1,111,D
159,C10140,461,2,94.2,1,2,1,121,D
160,C10141,461,1,47.79,1,1,1,111,D
161,C10142,461,1,28.0,1,1,1,111,D
162,C10143,461,2,61.2,1,2,1,121,D
163,C10144,461,1,92.28,1,1,1,111,D
164,C10145,461,1,44.29,1,1,1,111,D
165,C10146,461,1,88.72,1,1,1,111,D
166,C10147,461,1,185.06,1,1,1,111,D
167,C10148,461,1,172.37,1,1,1,111,D
168,C10149,461,1,31.95,1,1,1,111,D
169,C1015,573,1,226.11,1,1,1,111,D
170,C10150,461,1,20.84,1,1,1,111,D
171,C10151,461,1,25.77,1,1,1,111,D
172,C10152,461,1,82.73,1,1,1,111,D
